dialogId,stepGroup,order,speakerName,portraitId,text
tut_1_1_0,1-1,1,비서,portrait_secretary,현재 우리 회사의 직원은… [[대표님 한 명]]이네요.
tut_1_1_1,1-1,2,나,ceo_001,너는 누구지 그럼?
tut_1_1_2,1-1,3,비서,portrait_secretary,저요? 저는 직원이 아니라 대표님의 [[만능 비서]]잖아요!\n아직 잠이 덜깨신건가?
tut_1_2_0,1-2,1,비서,portrait_secretary,[[채용]]을 눌러 첫 직원을 뽑아볼까요?
tut_3_1_0,3-1,1,비서,portrait_secretary,지원자들이 왔어요! 이렇게 반지하까지 와주다니…\n다들 사연이 있어 보이네요.
tut_3_2_0,3-2,1,비서,portrait_secretary,지원서에서는 직업을 확인할 수 있어요.
tut_3_2_1,3-2,2,비서,portrait_secretary,"<sprite=""PlanIconSpriteAsset"" name=""plan""> [[기획]], <sprite=""DevIconSpriteAsset"" name=""dev""> [[개발]], <sprite=""ArtIconSpriteAsset"" name=""art""> [[아트]] 이렇게 3가지 직업으로\n이루어져 있으니 골고루 뽑아보세요"
tut_3_3_0,3-3,1,비서,portrait_secretary,여기서는 [[잠재력]]을 확인할 수 있어요
tut_3_3_1,3-3,2,비서,portrait_secretary,잠재력이 높을수록 나중에 [[강화했을 때]]\n크게 성장하니 꼭 참고하세요
tut_3_4_0,3-4,1,비서,portrait_secretary,직업과 동일한 능력치가 높은 직원을 뽑는게 중요하니까\n유심히 살펴보세요
tut_3_5_0,3-5,1,비서,portrait_secretary,"잠깐만요 이 지원자… 스펙이 엄청난데요?\n이런 분은 얼른 저희 회사로 데려가버리죠"
tut_4_1_0,4-1,1,비서,portrait_secretary,이제 책임져야 할 직원이 한 명 늘었네요.\n어때요 대표님이 된 게 실감 나시나요?
tut_4_2_0,4-2,1,비서,portrait_secretary,기획자를 뽑았으니 이번에는 [[개발자]]를 뽑아볼게요
tut_4_2_1,4-2,2,비서,portrait_secretary,두 번째부턴 익숙하시죠? 이번엔 대표님이 직접\n마음에 드는 사람으로 골라보세요
tut_5_1_0,5-1,1,비서,portrait_secretary,아직 사무실이 너무 작아서 2명밖에 못 뽑을 것 같아요.\n이미 다들 좁다고 난리네요.
tut_5_1_1,5-1,2,비서,portrait_secretary,얼른 돈 더 벌어서 더 큰 사무실로 가볼까요?
tut_5_2_0,5-2,1,비서,portrait_secretary,돈을 벌기 위해서 [[게임 개발]]을 시작해볼까요?
tut_5_3_0,5-3,1,비서,portrait_secretary,일단은 돈이 없으니 규모는 소형으로 하고\n플랫폼과 장르를 골라주세요!
tut_5_3_1,5-3,2,비서,portrait_secretary,제가 열심히 조사해서 써둔 정보를 활용하면\n더 좋은 게임을 만들 수 있을꺼에요.
tut_5_4_0,5-4,1,비서,portrait_secretary,훌륭한 선택이네요. 역시 제가 선택한 대표님 다워요.\n이제 시작해볼까요?
tut_6_1_0,6-1,1,비서,portrait_secretary,이번에 합류한 우리 직원들 실력을 확인해볼 시간이에요
tut_6_2_0,6-2,1,비서,portrait_secretary,이번 기획파트 [[팀장]]을 정해주세요. 팀장의 [[능력치]]가\n그 파트 [[점수의 핵심]]이 돼요.
